id,original,name,location,address
43,"Herzing University - multiple locations, in the process of becoming a nonprofit university",Herzing University,"multiple locations, in the process of becoming a nonprofit university","Herzing College, 2400 Veterans Boulevard #410, Kenner, LA 70062, USA",
44,High-Tech Institute - multiple locations,High,Tech Institute,"High, Home Farm, Spridlington Road, Faldingworth, Market Rasen, Lincolnshire LN8 3SQ, UK",
45,"Illinois School of Health Centers - Chicago, Illinois",Illinois School of Health Centers,"Chicago, Illinois","Heartland Health Centers-Senn High School, 5900 North Glenwood Avenue, Chicago, IL 60660, USA",
47,ITT Technical Institute - multiple locations,ITT Technical Institute,multiple locations,"ITT Technical Institute - Nashville Campus, 2845 Elm Hill Pike, Nashville, TN 37214, USA",
48,Kaplan College - multiple locations; includes Maric Colleges and Kaplan Career Institutes,Kaplan College,multiple locations; includes Maric Colleges and Kaplan Career Institutes,"Kaplan University, Frederick, MD 21704, USA",
49,Kaplan University - multiple locations,Kaplan University,multiple locations,"Kaplan University, Frederick, MD 21704, USA",
51,"Kee Business College - multiple locations in Virginia, subsidiary of Corinthian Colleges, Inc.",Kee Business College,"multiple locations in Virginia, subsidiary of Corinthian Colleges, Inc.","Kee Business College, 803 Diligence Drive, Newport News, VA 23606, USA",
52,"Kendall College - Chicago, Illinois",Kendall College,"Chicago, Illinois","Kendall College, 900 North North Branch Street, Chicago, IL 60642, USA",
53,"Kitchen Academy - Los Angeles, California",Kitchen Academy,"Los Angeles, California","Kitchen Academy, 6370 Sunset Boulevard, Los Angeles, CA 90028, USA",
54,"Le Cordon Bleu - multiple locations, subsidiary of Career Education Corporation",Le Cordon Bleu,"multiple locations, subsidiary of Career Education Corporation","Le Cordon Bleu, 8 Rue Léon Delhomme, 75015 Paris, France",
55,Lincoln Group of Schools - multiple locations,Lincoln Group of Schools,multiple locations,"Lincoln Surgical Group, P.C., 4740 A Street #100, Lincoln, NE 68510, USA",
56,"Las Vegas College - Henderson, Nevada",Las Vegas College,"Henderson, Nevada","SureFire Institute Las Vegas, Henderson, NV 89002, USA",
57,"Los Angeles Film School - Los Angeles, California",Los Angeles Film School,"Los Angeles, California","UCLA School of Theater, Film and Television, 225 Charles E Young Drive, Los Angeles, CA 90095, USA",
58,McCann School of Business and Technology - multiple locations,McCann School of Business and Technology,multiple locations,"McCann School of Business and Technology, Wilkes-Barre, PA 18702, USA",
59,"McNally Smith College of Music - Saint Paul, Minnesota",McNally Smith College of Music,"Saint Paul, Minnesota","McNally Smith College of Music - Admissions Office, Cedar Street, Saint Paul, MN 55101, USA",
60,Miami International University of Art and Design,Miami International University of Art and Design,,"Miami International University of Art & Design, 1501 Biscayne Boulevard #100, Miami, FL 33132, USA",
61,Mildred Elley - multiple locations,Mildred Elley,multiple locations,"Mildred Elley, 25 Broadway, New York, NY 10004, USA",
62,Monroe College - multiple locations,Monroe College,multiple locations,"Monroe College, 2501 Jerome Avenue, Bronx, NY 10468, USA",
63,Mount Washington College - multiple locations in New Hampshire,Mount Washington College,multiple locations in New Hampshire,"Mount Washington College, 3 Sundial Avenue, Manchester, NH 03103, USA",
64,"Mountain West College - Salt Lake City, Utah",Mountain West College,"Salt Lake City, Utah","Mt. Wire Alternate Trail, Salt Lake City, UT 84108, USA",
65,"National American University - multiple campuses, including Mall of America",National American University,"multiple campuses, including Mall of America","National American University, 1550 Minnesota 36, Roseville, MN 55113, USA",
66,National College - multiple U.S. locations,National College,multiple U.S. locations,"National University: Spectrum Business Park Campus, 9388 Lightwave Avenue, San Diego, CA 92123, USA",
67,National Institute of Technology (United States) - multiple locations; ,National Institute of Technology (United States),multiple locations;,"National Institute of Standards and Technology, 100 Bureau Drive, Gaithersburg, MD 20899, USA",
69,National School of Technology - multiple locations,National School of Technology,multiple locations,"National Institute of Standards and Technology, 100 Bureau Drive, Gaithersburg, MD 20899, USA",
72,Northcentral University,Northcentral University,,"Northcentral University, 10000 East University Drive, Prescott Valley, AZ 86314, USA",
73,Ohio Business College - multiple locations,Ohio Business College,multiple locations,"Business, 6200 Frank Avenue Northwest, North Canton, OH 44720, USA",
75,Pennco Tech - multiple locations,Pennco Tech,multiple locations,"Pennco Tech, 99 Erial Road, Blackwood, NJ 08012, USA",
76,Pioneer Pacific College - multiple locations in Oregon,Pioneer Pacific College,multiple locations in Oregon,"Pioneer Pacific College, 27501 Southwest Parkway Avenue, Wilsonville, OR 97070, USA",
77,"Pittsburgh Technical Institute - Oakdale, Pennsylvania and Cranberry Township, Butler County, Pennsylvania",Pittsburgh Technical Institute,"Oakdale, Pennsylvania and Cranberry Township, Butler County, Pennsylvania","Pittsburgh Technical Institute, 850 Cranberry Woods Drive, Oakdale, PA 15071, USA",
78,"Post University- Connecticut, ",Post University,"Connecticut,","Post University, 800 Country Club Road, Waterbury, CT 06708, USA",
80,"Rhodes Colleges, Inc - multiple locations; ","Rhodes Colleges, Inc",multiple locations;,"Rhodes Colleges Inc, 9020 Southwest 137th Avenue, Miami, FL 33186, USA",
81,Rocky Vista University College of Osteopathic Medicine,Rocky Vista University College of Osteopathic Medicine,,"Rocky Vista University College of Osteopathic Medicine, 8401 South Chambers Road, Parker, CO 80134, USA",
82,"Salem International University - Salem, West Virginia",Salem International University,"Salem, West Virginia","Salem International University, 223 West Main Street, Salem, WV 26426, USA",
83,"San Joaquin Valley College - California, multiple locations",San Joaquin Valley College,"California, multiple locations","San Joaquin Valley College, 10641 Church Street, Rancho Cucamonga, CA 91730, USA",
84,Schiller International University - multiple locations,Schiller International University,multiple locations,"Schiller International University, 8560 Ulmerton Road, Largo, FL 33771, USA",
86,"South College, Knoxville, Tennessee","South College, Knoxville, Tennessee",,"South College, 3904 Lonas Drive, Knoxville, TN 37909, USA",
87,"Southern Careers Institute - Texas, multiple locations",Southern Careers Institute,"Texas, multiple locations","Southern Careers Institute, 2422 Airline Road, Corpus Christi, TX 78414, USA",
88,"Southern States University, California","Southern States University, California",,"Southern States University, 1601 Dove Street, Newport Beach, CA 92660, USA",
89,"Spartan College of Aeronautics and Technology Tulsa, Oklahoma","Spartan College of Aeronautics and Technology Tulsa, Oklahoma",,"Spartan College of Aeronautics and Technology, 8820 East Pine Street, Tulsa, OK 74115, USA",
91,Specs Howard School of Media Arts - Michigan,Specs Howard School of Media Arts,Michigan,"Specs Howard School of Media Arts, 19900 West Nine Mile Road #100, Southfield, MI 48075, USA",
92,"Spencerian College - Kentucky, multiple locations",Spencerian College,"Kentucky, multiple locations","Spencerian College, 4627 Dixie Highway, Shively, KY 40216, USA",
93,"Springfield College - Springfield, Missouri; ",Springfield College,"Springfield, Missouri;","Everest College Springfield, 1010 West Sunshine Street, Springfield, MO 65807, USA",
94,Stratford University - multiple locations,Stratford University,multiple locations,"Stratford University, 7777 Leesburg Pike, Falls Church, VA 22043, USA",
95,Strayer University - multiple locations,Strayer University,multiple locations,"Strayer University, 45150 Russell Branch Parkway #200, Ashburn, VA 20147, USA",
96,"Sullivan University - Kentucky, multiple locations",Sullivan University,"Kentucky, multiple locations","Sullivan University, 3101 Bardstown Road, Louisville, KY 40205, USA",
97,"University of Advancing Technology - Tempe, Arizona",University of Advancing Technology,"Tempe, Arizona","University of Advancing Technology, 2625 West Baseline Road, Tempe, AZ 85283, USA",
98,University of Phoenix - multiple locations,University of Phoenix,multiple locations,"University of Phoenix, 1625 W. Fountainhead Pkwy, Tempe, AZ 85282, USA",
99,"University of the Potomac - Washington DC; Vienna, Virginia; online",University of the Potomac,"Washington DC; Vienna, Virginia; online","University of the Potomac, 1401 H Street Northwest #100, Washington, DC 20005, USA",
100,"U.S. Career Institute - Fort Collins, Colorado",U.S. Career Institute,"Fort Collins, Colorado","US Career Institute, 2001 Lowe Street, Fort Collins, CO 80525, USA",
101,"Vet Tech Institute - Pittsburgh, Pennsylvania",Vet Tech Institute,"Pittsburgh, Pennsylvania","Vet Tech Institute, 125 7th Street, Pittsburgh, PA 15222, USA",
102,"Virginia College - multiple locations, ",Virginia College,"multiple locations,","Virginia College, 488 Palisades Boulevard, Birmingham, AL 35209, USA",
103,"Walden University - Minneapolis, Minnesota",Walden University,"Minneapolis, Minnesota","Walden University, 100 South Washington Avenue #900, Minneapolis, MN 55401, USA",
105,"West Coast University - Los Angeles, California",West Coast University,"Los Angeles, California","West Coast University, Los Angeles, CA 90004, USA",
106,Western Business College - multiple locations,Western Business College,multiple locations,"Western Carolina University Clg-Bus, 65 University Way, Cullowhee, NC 28723, USA",
107,"Western International University - multiple locations, a subsidiary of Apollo Group",Western International University,"multiple locations, a subsidiary of Apollo Group","Western International University, 1601 West Fountainhead Parkway, Tempe, AZ 85282, USA",
108,Westwood College - multiple locations,Westwood College,multiple locations,"Westwood College - Chicago Loop Campus, 1 North State Street #1000, Chicago, IL 60602, USA",
